               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067859,             0.04432,            0.034679,             0.26329,            0.021595,           0.0082562,           0.0022833,            0.057468,            0.081748,            0.031307,            0.070021,            0.003331,            0.003331
                   1,            0.058993,            0.043808,              0.0154,             0.79952,            0.047368,            0.022991,            0.006177,            0.051019,            0.036993,            0.017676,            0.040012,           0.0066546,           0.0066546
                   2,            0.055723,            0.043809,            0.012914,             0.80071,            0.050935,            0.027383,           0.0075816,            0.048685,            0.038449,            0.015892,           0.0099923,           0.0099685,           0.0099685
                   3,            0.053228,            0.043684,            0.011303,             0.64253,             0.10959,            0.072202,            0.022416,            0.046156,            0.042206,            0.012729,           0.0099564,           0.0099564,           0.0099564
                   4,            0.051228,            0.043108,           0.0092436,             0.65309,             0.11897,            0.087842,            0.027286,            0.044636,            0.037446,           0.0089998,           0.0099564,           0.0099564,           0.0099564
                   5,            0.049888,            0.042193,           0.0076271,             0.52919,             0.13774,             0.10299,            0.032323,            0.043581,            0.036988,           0.0064362,           0.0099418,           0.0099418,           0.0099418
                   6,            0.049016,             0.04207,            0.007114,              0.7031,             0.13652,             0.11839,            0.036845,            0.042875,            0.036673,           0.0076449,           0.0099273,           0.0099273,           0.0099273
                   7,            0.048345,            0.041616,           0.0063023,             0.70312,             0.17997,             0.15207,            0.051063,            0.042129,            0.034311,           0.0050652,           0.0099127,           0.0099127,           0.0099127
                   8,            0.047769,            0.041189,            0.005767,             0.72416,             0.18542,             0.15876,            0.053561,            0.041601,            0.033802,           0.0046508,           0.0098982,           0.0098982,           0.0098982
                   9,            0.047184,            0.040744,            0.005166,              0.7394,             0.19636,             0.18328,            0.064486,            0.040895,            0.035153,            0.004508,           0.0098836,           0.0098836,           0.0098836
                  10,             0.04659,            0.040635,           0.0050324,             0.74104,             0.19244,               0.178,            0.060246,            0.040886,            0.033782,           0.0040825,           0.0098691,           0.0098691,           0.0098691
                  11,             0.04629,            0.039173,           0.0046271,             0.63223,             0.19868,             0.19288,            0.068404,            0.040129,            0.033367,           0.0037973,           0.0098545,           0.0098545,           0.0098545
                  12,            0.046072,            0.039839,           0.0048553,             0.62337,             0.20593,             0.19821,            0.071941,            0.040047,            0.033919,           0.0038725,             0.00984,             0.00984,             0.00984
                  13,            0.045812,            0.040385,           0.0043396,             0.75834,             0.21626,             0.21359,            0.077223,            0.039763,            0.032998,           0.0034481,           0.0098255,           0.0098255,           0.0098255
                  14,            0.045463,             0.03957,           0.0041704,             0.76379,             0.22112,             0.21268,            0.073391,            0.039367,             0.03287,           0.0031968,           0.0098109,           0.0098109,           0.0098109
                  15,             0.04534,            0.039468,           0.0039293,             0.79454,              0.2198,             0.22505,            0.082742,            0.039159,            0.033206,           0.0029233,           0.0097964,           0.0097964,           0.0097964
                  16,            0.045084,            0.038857,           0.0038053,             0.79247,             0.22487,             0.23175,            0.087888,            0.039028,            0.033209,           0.0030686,           0.0097818,           0.0097818,           0.0097818
                  17,            0.044824,            0.038585,           0.0036251,             0.78635,              0.2334,              0.2362,            0.085948,            0.038673,            0.033111,           0.0028066,           0.0097673,           0.0097673,           0.0097673
                  18,            0.044769,            0.038591,           0.0034529,             0.80222,             0.23086,             0.23884,            0.090501,            0.038753,            0.032863,           0.0027754,           0.0097527,           0.0097527,           0.0097527
