               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068286,            0.051466,                   0,          0.00032593,            0.012722,          0.00016509,          3.3832e-05,            0.057968,            0.020952,                   0,            0.070227,           0.0033081,           0.0033081
                   1,            0.062418,            0.049315,                   0,             0.16125,             0.17392,            0.078607,            0.019552,            0.049657,            0.019499,                   0,             0.04021,           0.0066237,           0.0066237
                   2,            0.056173,            0.046855,                   0,             0.21193,             0.34365,             0.16663,            0.045559,            0.042636,            0.019082,                   0,            0.010174,           0.0099215,           0.0099215
                   3,            0.053547,            0.045116,                   0,             0.17381,             0.29926,             0.11004,            0.025389,            0.044549,            0.017144,                   0,             0.00992,             0.00992,             0.00992
                   4,            0.050353,            0.047598,                   0,             0.40021,             0.44427,             0.36983,             0.10605,            0.037451,            0.017156,                   0,             0.00992,             0.00992,             0.00992
                   5,            0.047814,            0.044841,                   0,             0.27122,             0.32023,             0.18687,            0.042266,            0.044867,            0.014925,                   0,           0.0098933,           0.0098933,           0.0098933
                   6,            0.046165,            0.044391,                   0,             0.41062,             0.43964,             0.35115,             0.09092,            0.038348,            0.014654,                   0,           0.0098667,           0.0098667,           0.0098667
                   7,            0.045243,            0.043592,                   0,             0.60322,             0.55544,             0.55794,             0.16718,            0.035011,            0.014252,                   0,             0.00984,             0.00984,             0.00984
                   8,             0.04506,            0.043047,                   0,             0.63818,             0.55154,             0.57616,             0.17178,            0.034654,            0.014204,                   0,           0.0098133,           0.0098133,           0.0098133
                   9,            0.043536,            0.041888,                   0,             0.63894,              0.5725,             0.56633,             0.15924,            0.035967,            0.013673,                   0,           0.0097867,           0.0097867,           0.0097867
                  10,            0.043169,              0.0409,                   0,             0.51486,             0.49935,             0.39868,            0.094649,            0.037965,            0.013746,                   0,             0.00976,             0.00976,             0.00976
                  11,             0.04304,            0.039514,                   0,             0.65166,             0.58161,             0.54993,             0.14096,            0.035847,            0.013512,                   0,           0.0097333,           0.0097333,           0.0097333
                  12,             0.04252,            0.038971,                   0,             0.79338,             0.68059,             0.75518,             0.25808,             0.03122,            0.013393,                   0,           0.0097067,           0.0097067,           0.0097067
                  13,             0.04189,            0.039749,                   0,             0.64503,             0.58248,             0.56509,             0.15485,            0.035154,            0.012773,                   0,             0.00968,             0.00968,             0.00968
                  14,            0.041412,            0.038327,                   0,             0.71286,             0.62556,             0.61898,             0.17257,            0.035302,            0.012945,                   0,           0.0096533,           0.0096533,           0.0096533
                  15,            0.041499,            0.039405,                   0,             0.84167,              0.7255,             0.80099,             0.28419,            0.030043,            0.012465,                   0,           0.0096267,           0.0096267,           0.0096267
                  16,            0.040915,            0.038429,                   0,             0.78623,             0.71519,             0.73457,             0.23405,            0.031532,            0.013503,                   0,              0.0096,              0.0096,              0.0096
                  17,            0.041002,            0.037359,                   0,             0.81486,             0.68079,             0.75026,              0.2469,            0.032002,            0.012383,                   0,           0.0095733,           0.0095733,           0.0095733
                  18,             0.04106,            0.037714,                   0,             0.74907,             0.65987,             0.66922,             0.20029,            0.032488,            0.012548,                   0,           0.0095467,           0.0095467,           0.0095467
                  19,            0.040764,            0.037156,                   0,             0.86957,             0.74339,              0.8238,             0.30089,            0.029602,             0.01207,                   0,             0.00952,             0.00952,             0.00952
                  20,            0.040005,            0.036707,                   0,             0.53709,                0.41,             0.38123,             0.10045,            0.040922,            0.015552,                   0,           0.0094933,           0.0094933,           0.0094933
                  21,            0.040248,            0.036868,                   0,             0.86416,             0.73977,              0.8209,              0.2845,            0.030357,            0.011951,                   0,           0.0094667,           0.0094667,           0.0094667
                  22,            0.040081,            0.036188,                   0,              0.7935,             0.67385,             0.70598,             0.21199,             0.03295,             0.01218,                   0,             0.00944,             0.00944,             0.00944
                  23,            0.039722,            0.035848,                   0,             0.86483,             0.76865,             0.83537,             0.29084,            0.029997,            0.011794,                   0,           0.0094133,           0.0094133,           0.0094133
                  24,            0.040226,            0.035435,                   0,             0.83468,             0.73009,             0.76976,             0.25098,            0.031485,            0.011744,                   0,           0.0093867,           0.0093867,           0.0093867
                  25,            0.039987,            0.035257,                   0,             0.81755,             0.69835,             0.74963,             0.25038,            0.031788,            0.011775,                   0,             0.00936,             0.00936,             0.00936
                  26,             0.03942,            0.035673,                   0,             0.84575,             0.73799,             0.79889,              0.2794,            0.030405,            0.011976,                   0,           0.0093333,           0.0093333,           0.0093333
                  27,            0.039764,            0.036225,                   0,             0.78579,             0.68994,             0.69373,             0.20437,            0.033082,            0.011908,                   0,           0.0093067,           0.0093067,           0.0093067
                  28,            0.039445,            0.035136,                   0,             0.84442,             0.73209,             0.77916,             0.25772,            0.030769,            0.011872,                   0,             0.00928,             0.00928,             0.00928
                  29,            0.038992,             0.03563,                   0,             0.86985,             0.77591,             0.82811,             0.29079,            0.029837,            0.011766,                   0,           0.0092533,           0.0092533,           0.0092533
                  30,            0.039162,            0.034672,                   0,             0.86025,             0.77427,             0.82038,             0.28037,             0.02987,            0.011888,                   0,           0.0092267,           0.0092267,           0.0092267
                  31,            0.039635,            0.035737,                   0,             0.85874,             0.76652,             0.81009,             0.27518,            0.030309,            0.011541,                   0,              0.0092,              0.0092,              0.0092
                  32,             0.03926,            0.035251,                   0,             0.85784,             0.76478,             0.81351,             0.27723,             0.03028,            0.011557,                   0,           0.0091733,           0.0091733,           0.0091733
                  33,            0.039059,            0.035428,                   0,             0.85207,             0.70449,              0.7768,             0.25991,            0.030939,            0.012242,                   0,           0.0091467,           0.0091467,           0.0091467
                  34,            0.038317,            0.034068,                   0,              0.8442,             0.73088,             0.77649,             0.25006,            0.031286,            0.011618,                   0,             0.00912,             0.00912,             0.00912
                  35,            0.038882,            0.035698,                   0,             0.87468,             0.79009,             0.84224,              0.3001,            0.029577,            0.011348,                   0,           0.0090933,           0.0090933,           0.0090933
                  36,            0.038386,            0.034293,                   0,             0.89725,             0.78748,             0.86027,             0.31877,             0.02873,            0.011534,                   0,           0.0090667,           0.0090667,           0.0090667
                  37,            0.038849,            0.035248,                   0,             0.79505,             0.67428,             0.71336,             0.22074,            0.032671,            0.011937,                   0,             0.00904,             0.00904,             0.00904
                  38,            0.038283,            0.033593,                   0,             0.76709,             0.67706,             0.67436,              0.1997,            0.032581,            0.011915,                   0,           0.0090133,           0.0090133,           0.0090133
                  39,            0.038584,            0.033951,                   0,             0.89485,             0.82145,             0.87972,             0.32922,            0.028377,            0.011634,                   0,           0.0089867,           0.0089867,           0.0089867
                  40,            0.038432,            0.034232,                   0,             0.87955,             0.76641,             0.83381,             0.29606,            0.029677,            0.011537,                   0,             0.00896,             0.00896,             0.00896
                  41,            0.038885,            0.034823,                   0,             0.89485,             0.76045,             0.85261,             0.31172,            0.029168,            0.011899,                   0,           0.0089333,           0.0089333,           0.0089333
                  42,            0.038864,            0.034845,                   0,             0.89053,              0.7915,             0.84779,             0.30353,            0.029445,            0.011271,                   0,           0.0089067,           0.0089067,           0.0089067
                  43,            0.038162,            0.033463,                   0,             0.83383,             0.72545,             0.75409,             0.23914,            0.031657,            0.011659,                   0,             0.00888,             0.00888,             0.00888
                  44,            0.038076,            0.034382,                   0,             0.87799,              0.7671,             0.82217,             0.28191,            0.029915,            0.011486,                   0,           0.0088533,           0.0088533,           0.0088533
                  45,            0.038325,             0.03351,                   0,             0.87315,             0.76824,             0.82252,             0.28035,            0.030157,              0.0113,                   0,           0.0088267,           0.0088267,           0.0088267
                  46,            0.037767,            0.033418,                   0,             0.88274,             0.78069,             0.83563,             0.29081,            0.029661,            0.011305,                   0,              0.0088,              0.0088,              0.0088
                  47,            0.037624,             0.03375,                   0,             0.90051,             0.79731,              0.8668,             0.32024,             0.02871,            0.011368,                   0,           0.0087733,           0.0087733,           0.0087733
                  48,            0.037915,            0.033332,                   0,             0.90093,              0.8323,             0.87248,             0.31855,            0.028699,            0.011129,                   0,           0.0087467,           0.0087467,           0.0087467
                  49,            0.037628,            0.032977,                   0,             0.90737,             0.83259,             0.88247,             0.32907,             0.02834,            0.011102,                   0,             0.00872,             0.00872,             0.00872
                  50,            0.037795,            0.033174,                   0,             0.87468,             0.75813,             0.81568,             0.28023,            0.030173,            0.011619,                   0,           0.0086933,           0.0086933,           0.0086933
                  51,            0.037959,            0.033039,                   0,             0.87635,             0.73876,              0.8161,             0.28728,            0.029966,            0.012058,                   0,           0.0086667,           0.0086667,           0.0086667
                  52,            0.037784,            0.033609,                   0,             0.90922,             0.81091,             0.88172,             0.33142,            0.028425,            0.011165,                   0,             0.00864,             0.00864,             0.00864
                  53,            0.037785,             0.03404,                   0,             0.89872,             0.82854,             0.87661,             0.32535,            0.028478,            0.011093,                   0,           0.0086133,           0.0086133,           0.0086133
                  54,            0.038051,            0.033956,                   0,             0.85945,             0.76941,             0.80421,             0.27686,            0.030517,            0.011241,                   0,           0.0085867,           0.0085867,           0.0085867
                  55,            0.037565,            0.033555,                   0,             0.89946,             0.79932,              0.8561,             0.31275,            0.029087,            0.011302,                   0,             0.00856,             0.00856,             0.00856
                  56,            0.037546,            0.033415,                   0,             0.90133,             0.77388,             0.85495,             0.31351,            0.029007,            0.011714,                   0,           0.0085333,           0.0085333,           0.0085333
                  57,            0.037249,             0.03259,                   0,             0.87427,             0.81127,             0.83068,             0.28017,            0.029688,            0.011333,                   0,           0.0085067,           0.0085067,           0.0085067
                  58,            0.037305,            0.032756,                   0,             0.87571,             0.74458,             0.80927,             0.27807,            0.029891,            0.011755,                   0,             0.00848,             0.00848,             0.00848
                  59,            0.037426,            0.032097,                   0,             0.90568,             0.81726,             0.87531,             0.32493,            0.028564,            0.011096,                   0,           0.0084533,           0.0084533,           0.0084533
                  60,            0.037123,            0.032226,                   0,             0.89113,             0.79996,             0.85411,             0.30717,            0.029193,            0.011261,                   0,           0.0084267,           0.0084267,           0.0084267
                  61,            0.037342,             0.03267,                   0,             0.90882,             0.83316,             0.88687,             0.33725,            0.028242,            0.010985,                   0,              0.0084,              0.0084,              0.0084
                  62,            0.036751,            0.031712,                   0,             0.89168,             0.79736,             0.85461,             0.30534,            0.029036,            0.011084,                   0,           0.0083733,           0.0083733,           0.0083733
                  63,            0.037561,             0.03331,                   0,             0.88314,             0.79355,             0.83487,              0.2903,            0.029458,            0.011258,                   0,           0.0083467,           0.0083467,           0.0083467
                  64,            0.037451,            0.032168,                   0,             0.90118,             0.81344,             0.86718,              0.3154,            0.028844,            0.011042,                   0,             0.00832,             0.00832,             0.00832
                  65,            0.037221,            0.032726,                   0,             0.86914,             0.77288,             0.82057,             0.28628,            0.029692,            0.011519,                   0,           0.0082933,           0.0082933,           0.0082933
                  66,            0.037291,            0.032901,                   0,             0.91078,             0.82406,             0.88122,             0.32623,            0.028423,             0.01101,                   0,           0.0082667,           0.0082667,           0.0082667
                  67,            0.037671,            0.033058,                   0,             0.89995,             0.79583,             0.85966,             0.30792,            0.029044,            0.011275,                   0,             0.00824,             0.00824,             0.00824
                  68,            0.036918,            0.033425,                   0,             0.88965,              0.7882,             0.84692,             0.29846,            0.029231,            0.011421,                   0,           0.0082133,           0.0082133,           0.0082133
                  69,            0.037348,            0.031281,                   0,             0.90934,             0.83765,              0.8898,             0.33206,            0.028223,            0.010982,                   0,           0.0081867,           0.0081867,           0.0081867
                  70,            0.037427,            0.032353,                   0,             0.91262,             0.83374,             0.88554,             0.32902,            0.028332,            0.010933,                   0,             0.00816,             0.00816,             0.00816
                  71,            0.037328,             0.03168,                   0,             0.84838,             0.74078,             0.77054,             0.25118,            0.030814,            0.011488,                   0,           0.0081333,           0.0081333,           0.0081333
                  72,            0.036786,            0.032474,                   0,             0.91001,              0.8158,             0.87556,             0.32567,            0.028465,            0.011071,                   0,           0.0081067,           0.0081067,           0.0081067
                  73,            0.036866,            0.032156,                   0,              0.8947,               0.819,              0.8645,              0.3132,            0.028823,               0.011,                   0,             0.00808,             0.00808,             0.00808
                  74,            0.037299,            0.032413,                   0,             0.84764,             0.74719,             0.78003,             0.25567,            0.030167,            0.011732,                   0,           0.0080533,           0.0080533,           0.0080533
                  75,            0.036672,            0.032183,                   0,             0.89267,             0.80202,             0.86298,             0.31521,            0.028825,            0.011259,                   0,           0.0080267,           0.0080267,           0.0080267
                  76,            0.036774,            0.032822,                   0,             0.90953,             0.81668,              0.8761,             0.32331,            0.028564,            0.011015,                   0,               0.008,               0.008,               0.008
                  77,            0.037132,            0.032677,                   0,              0.8937,             0.78642,             0.84644,             0.29884,            0.029379,            0.011296,                   0,           0.0079733,           0.0079733,           0.0079733
                  78,            0.036243,            0.031123,                   0,             0.91054,             0.83874,             0.88644,             0.33053,             0.02828,            0.010944,                   0,           0.0079467,           0.0079467,           0.0079467
                  79,            0.036426,            0.031178,                   0,             0.92166,             0.81976,             0.88888,              0.3358,            0.028206,            0.011111,                   0,             0.00792,             0.00792,             0.00792
                  80,            0.036895,            0.031652,                   0,             0.91038,             0.83085,              0.8805,             0.32519,            0.028428,            0.010928,                   0,           0.0078933,           0.0078933,           0.0078933
                  81,            0.036806,            0.031138,                   0,             0.89988,              0.7991,             0.85898,             0.31067,            0.028739,             0.01134,                   0,           0.0078667,           0.0078667,           0.0078667
                  82,            0.036699,            0.030832,                   0,             0.91163,             0.83562,             0.88718,              0.3274,            0.028406,            0.010941,                   0,             0.00784,             0.00784,             0.00784
                  83,            0.037335,            0.031992,                   0,             0.91013,             0.83186,             0.88545,             0.32917,             0.02842,              0.0109,                   0,           0.0078133,           0.0078133,           0.0078133
                  84,            0.036802,            0.032172,                   0,             0.90335,             0.81712,             0.86713,             0.31455,             0.02868,            0.011129,                   0,           0.0077867,           0.0077867,           0.0077867
                  85,            0.036353,            0.030455,                   0,             0.90929,             0.82059,             0.87424,             0.31898,            0.028557,            0.011078,                   0,             0.00776,             0.00776,             0.00776
                  86,            0.036697,            0.032297,                   0,             0.89013,             0.80353,             0.84372,             0.29256,            0.029407,            0.011076,                   0,           0.0077333,           0.0077333,           0.0077333
                  87,            0.036063,            0.031084,                   0,             0.84805,             0.72212,             0.76358,             0.24916,            0.030514,            0.011905,                   0,           0.0077067,           0.0077067,           0.0077067
                  88,            0.036905,            0.031971,                   0,             0.89084,             0.81611,             0.86043,              0.3041,            0.029156,               0.011,                   0,             0.00768,             0.00768,             0.00768
                  89,            0.036738,            0.032201,                   0,             0.91457,             0.81722,              0.8834,             0.33338,            0.028169,             0.01105,                   0,           0.0076533,           0.0076533,           0.0076533
                  90,            0.036467,            0.032655,                   0,             0.92545,             0.84039,             0.89472,             0.33923,            0.027958,            0.010958,                   0,           0.0076267,           0.0076267,           0.0076267
                  91,            0.036844,            0.031704,                   0,             0.88406,             0.76912,             0.83417,             0.29503,            0.029143,            0.011623,                   0,              0.0076,              0.0076,              0.0076
                  92,            0.036852,            0.032096,                   0,             0.90771,             0.81045,             0.86935,             0.31992,              0.0286,            0.011191,                   0,           0.0075733,           0.0075733,           0.0075733
                  93,            0.036895,            0.032691,                   0,             0.90841,             0.83018,             0.87928,             0.32371,            0.028413,            0.011101,                   0,           0.0075467,           0.0075467,           0.0075467
                  94,             0.03655,            0.031604,                   0,             0.91244,             0.84097,             0.88906,             0.32888,            0.028279,            0.010868,                   0,             0.00752,             0.00752,             0.00752
                  95,            0.036987,            0.031989,                   0,             0.90594,             0.81036,             0.87302,              0.3251,            0.028498,            0.011092,                   0,           0.0074933,           0.0074933,           0.0074933
                  96,            0.036448,            0.030623,                   0,             0.91388,             0.82521,             0.88062,             0.32791,            0.028327,            0.011053,                   0,           0.0074667,           0.0074667,           0.0074667
                  97,            0.036387,            0.031043,                   0,             0.91571,             0.85008,             0.89812,               0.339,             0.02799,            0.010733,                   0,             0.00744,             0.00744,             0.00744
                  98,             0.03676,             0.03182,                   0,              0.9228,             0.83837,             0.89628,             0.34399,            0.027948,            0.010889,                   0,           0.0074133,           0.0074133,           0.0074133
                  99,            0.036265,             0.03091,                   0,             0.91785,             0.83302,             0.88894,             0.33202,            0.028302,            0.011068,                   0,           0.0073867,           0.0073867,           0.0073867
                 100,            0.036214,            0.030724,                   0,               0.914,             0.82968,             0.88581,             0.32949,            0.028321,            0.010997,                   0,             0.00736,             0.00736,             0.00736
                 101,            0.036469,            0.030805,                   0,             0.91757,             0.83794,             0.89402,             0.33635,            0.028221,            0.010918,                   0,           0.0073333,           0.0073333,           0.0073333
                 102,            0.036058,            0.031074,                   0,             0.91847,             0.85178,             0.90395,             0.34203,            0.027924,            0.010721,                   0,           0.0073067,           0.0073067,           0.0073067
                 103,            0.036335,            0.032264,                   0,             0.90713,             0.83312,             0.88313,             0.32845,            0.028265,            0.010962,                   0,             0.00728,             0.00728,             0.00728
                 104,            0.036911,            0.032221,                   0,             0.92812,             0.84187,             0.90304,             0.34398,             0.02789,            0.010894,                   0,           0.0072533,           0.0072533,           0.0072533
                 105,            0.035722,            0.031213,                   0,             0.92232,             0.83461,             0.89163,             0.33601,            0.028257,            0.011017,                   0,           0.0072267,           0.0072267,           0.0072267
                 106,            0.036421,            0.031335,                   0,             0.90059,             0.80158,             0.86507,             0.31637,             0.02876,            0.011261,                   0,              0.0072,              0.0072,              0.0072
                 107,            0.036269,            0.031002,                   0,             0.91261,               0.831,             0.88885,               0.331,            0.028324,            0.011111,                   0,           0.0071733,           0.0071733,           0.0071733
                 108,            0.036628,            0.032185,                   0,              0.9133,             0.82333,             0.87941,             0.32774,            0.028453,            0.010942,                   0,           0.0071467,           0.0071467,           0.0071467
                 109,            0.036431,            0.031203,                   0,             0.91925,             0.84762,             0.89454,             0.33607,            0.028225,            0.010786,                   0,             0.00712,             0.00712,             0.00712
                 110,            0.036455,            0.030914,                   0,              0.9146,             0.84372,             0.89029,             0.33212,            0.028256,            0.010774,                   0,           0.0070933,           0.0070933,           0.0070933
                 111,            0.035889,            0.029929,                   0,              0.9136,             0.84229,             0.89034,             0.33035,             0.02828,            0.010844,                   0,           0.0070667,           0.0070667,           0.0070667
                 112,            0.035924,            0.030777,                   0,             0.91938,             0.83866,             0.89114,             0.33799,            0.028061,            0.010974,                   0,             0.00704,             0.00704,             0.00704
                 113,            0.036021,            0.031525,                   0,             0.92262,             0.84295,             0.89833,             0.34117,            0.028005,            0.010891,                   0,           0.0070133,           0.0070133,           0.0070133
                 114,            0.035878,             0.03057,                   0,              0.9032,             0.81473,               0.868,             0.31246,             0.02869,            0.011123,                   0,           0.0069867,           0.0069867,           0.0069867
                 115,            0.036509,            0.031347,                   0,             0.91822,             0.84576,             0.89512,             0.33889,            0.028083,            0.010934,                   0,             0.00696,             0.00696,             0.00696
                 116,            0.036057,            0.031405,                   0,             0.90935,             0.82189,             0.87339,             0.31992,            0.028594,            0.011094,                   0,           0.0069333,           0.0069333,           0.0069333
                 117,            0.035885,            0.031709,                   0,              0.9291,             0.85254,              0.9109,             0.34306,            0.027873,            0.010786,                   0,           0.0069067,           0.0069067,           0.0069067
                 118,            0.036264,            0.030416,                   0,             0.91225,             0.83114,             0.88394,             0.32926,            0.028368,            0.010907,                   0,             0.00688,             0.00688,             0.00688
                 119,             0.03592,            0.031116,                   0,             0.91404,             0.82706,             0.88427,             0.32694,            0.028241,            0.011104,                   0,           0.0068533,           0.0068533,           0.0068533
