               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068319,            0.009664,            0.064625,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.077352,            0.070093,           0.0033229,           0.0033229
                   1,            0.054395,           0.0088974,            0.052706,            0.010373,            0.079438,           0.0063109,           0.0022184,            0.045103,           0.0074368,            0.048907,            0.040086,           0.0066487,           0.0066487
                   2,            0.046264,            0.008784,            0.048608,           0.0082267,            0.077853,            0.033427,           0.0067844,            0.056392,            0.010978,            0.054522,            0.010071,           0.0099668,           0.0099668
                   3,            0.042042,           0.0085598,             0.04646,             0.65907,            0.059299,            0.024274,           0.0078498,            0.038777,           0.0067794,            0.044679,           0.0099657,           0.0099657,           0.0099657
                   4,            0.038806,           0.0080213,            0.045085,             0.43928,             0.10533,            0.052421,            0.018469,            0.034106,           0.0056803,            0.042245,           0.0099657,           0.0099657,           0.0099657
                   5,            0.037062,           0.0074062,            0.043644,             0.59369,             0.11534,            0.077911,            0.027255,            0.031976,           0.0051527,            0.040504,           0.0099543,           0.0099543,           0.0099543
                   6,            0.035887,           0.0069246,            0.042513,             0.57787,             0.13036,            0.076684,            0.030031,            0.031502,           0.0051905,            0.038834,           0.0099429,           0.0099429,           0.0099429
                   7,            0.034361,           0.0067436,            0.041236,             0.65802,             0.14027,             0.08486,            0.032844,            0.030171,           0.0051757,            0.038353,           0.0099314,           0.0099314,           0.0099314
                   8,            0.033307,           0.0066209,            0.040213,             0.63263,             0.15804,             0.10658,            0.037756,            0.030031,           0.0048501,             0.03774,             0.00992,             0.00992,             0.00992
                   9,            0.032165,           0.0062387,            0.039257,                0.18,             0.22698,             0.11266,            0.041558,            0.031285,           0.0060665,            0.038451,           0.0099086,           0.0099086,           0.0099086
                  10,            0.031343,           0.0058183,            0.038117,             0.37537,             0.21686,             0.13104,            0.053612,            0.027779,           0.0049682,            0.036007,           0.0098971,           0.0098971,           0.0098971
